Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal)
2D7,8.0,8.123,SHWR,1.237,53.006,182.3,14.300000000000011,0.8386940671677904,1.0374645610865567,8.4273246297061,182.43538333333333,1.0,10.048151
2D7,8.0,3.668,SHWR,1.881,53.006,184.93,16.930000000000007,0.8386940671677904,1.5775835403426137,5.786576425976707,184.99113333333335,1.0,6.899508
5D4,8.0,5.968,SHWR,1.2590000000000001,53.006,187.03,19.03,0.8386940671677904,1.0559158305642482,6.301705676807433,187.12946666666667,1.0,7.513712000000001
6D4,9.0,3.013,SHWR,2.0,52.9875,197.25,5.25,0.8387421890747833,1.6774843781495665,5.054260431364644,197.30021666666667,1.0,6.026
6D4,9.0,11.005,SHWR,2.0,52.9875,197.65,5.650000000000006,0.8387421890747833,1.6774843781495665,18.460715581535982,197.83341666666666,1.0,22.01
2D1,9.0,5.5760000000000005,SHWR,2.0,52.9875,200.14,8.139999999999986,0.8387421890747833,1.6774843781495665,9.353652892561984,200.2329333333333,1.0,11.152000000000001
2D1,9.0,10.378,SHWR,1.916,52.9875,200.4,8.400000000000006,0.8387421890747833,1.6070300342672847,16.677757695625882,200.57296666666667,1.0,19.884248
6D4,9.0,9.957,SHWR,2.0,52.9875,211.47,19.47,0.8387421890747833,1.6774843781495665,16.702711953235234,211.63595,1.0,19.914
2E9,10.0,8.984,SHWR,1.561,52.9165,232.29,16.289999999999992,0.8389266069084378,1.3095644333840712,11.765126869522495,232.43973333333332,1.0,14.024023999999999
2E9,10.0,7.59,SHWR,2.0,52.9165,233.61,17.610000000000014,0.8389266069084378,1.6778532138168756,12.734905892870085,233.7365,1.0,15.18
1E5,10.0,7.119,SHWR,2.0,52.9165,234.01,18.00999999999999,0.8389266069084378,1.6778532138168756,11.944637029162337,234.12865,1.0,14.238
1E5,11.0,7.119,SHWR,2.0,52.919,258.01,18.00999999999999,0.8389201204877499,1.6778402409754998,11.944544675504583,258.12865,1.0,14.238
2D3,12.0,2.705,SHWR,1.746,52.8695,270.21,6.2099999999999795,0.839048454462784,1.4649786014920207,3.9627671170359164,270.2550833333333,1.0,4.72293
2D3,12.0,4.129,SHWR,2.0,52.8695,271.27,7.269999999999982,0.839048454462784,1.678096908925568,6.928862136953669,271.3388166666667,1.0,8.258
2D1,12.0,5.5760000000000005,SHWR,2.0,52.8695,272.14,8.139999999999986,0.839048454462784,1.678096908925568,9.357068364168967,272.23293333333334,1.0,11.152000000000001
2D1,12.0,10.378,SHWR,1.916,52.8695,272.4,8.399999999999977,0.839048454462784,1.607616838750694,16.683847552554703,272.5729666666666,1.0,19.884248
6D5,13.0,6.97,SHWR,1.4409999999999998,52.80200000000001,295.52,7.519999999999982,0.8392231261455352,1.2093205247757162,8.428964057686741,295.63616666666667,1.0,10.043769999999999
2D4,13.0,4.476,SHWR,2.0,52.80200000000001,296.47,8.470000000000027,0.8392231261455352,1.6784462522910704,7.512725425254831,296.5446,1.0,8.952
6D5,13.0,3.717,SHWR,2.0,52.80200000000001,297.1,9.100000000000023,0.8392231261455352,1.6784462522910704,6.238784719765909,297.16195000000005,1.0,7.434
6D5,13.0,1.859,SHWR,2.0,52.80200000000001,297.31,9.310000000000002,0.8392231261455352,1.6784462522910704,3.1202315830090996,297.3409833333333,1.0,3.718
6D5,13.0,5.421,SHWR,2.0,52.80200000000001,308.55,20.55000000000001,0.8392231261455352,1.6784462522910704,9.098857133669894,308.64035,1.0,10.842
4D7,14.0,3.275,SHWR,2.0,52.685500000000005,318.5,6.5,0.8395237063604779,1.6790474127209558,5.49888027666113,318.5545833333333,1.0,6.55
4D8,14.0,12.052999999999999,SHWR,1.585,52.685500000000005,320.25,8.25,0.8395237063604779,1.3306450745813574,16.0382650839291,320.4508833333333,1.0,19.104004999999997
4D7,14.0,0.0,SHWR,1.81,52.685500000000005,332.63,20.629999999999995,0.8395237063604779,1.519537908512465,0.0,332.63,4.0,0.0
4D7,14.0,7.2050000000012915,SHWR,1.632,52.685500000000005,332.63,20.629999999999995,0.8395237063604779,1.3701026887802998,9.87158987266383,332.75008333333335,4.0,11.758560000002108
4D7,14.0,0.1310000000000855,SHWR,1.632,52.685500000000005,332.75008333333335,20.75008333333335,0.8395237063604779,1.3701026887802998,0.1794834522303364,332.7522666666667,4.0,0.2137920000001395
4D8,14.0,11.005,SHWR,1.614,52.685500000000005,332.8,20.80000000000001,0.8395237063604779,1.3549912620658113,14.911678839034256,332.9834166666667,1.0,17.76207
