Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
1E1,3.0,5.502000000000002,SHWR,1.611,53.3385,69.78999999999999,21.789999999999992,0.8378242501398766,1.3497348669753413,7.42624123809833,69.8817,1.0,8.863722000000003,8.863722000000003,0.45300501018285294,1721.926920589386,0.2612651330246588,1.4374807619016734,0.7152769129128095,440.9322177374382,88.27657348781719,0.00044971919034419994,0.6028418546048236,0.5,7.5,0.6032915737951678,1.611,0.6032915737951678,0.5050475756443299,718.9119793726721,130.6637548841643,2.6703505733812447,174.9664522258265,962.6654201464976,0.6028418546048236
2D8,5.0,5.47,SHWR,1.443,53.1725,102.42,6.420000000000003,0.8382596740932433,1.2096087097165502,6.6165596421495305,102.51116666666668,1.0,7.893210000000001,7.89321,0.46344039999866665,1573.7523090341022,0.2333912902834499,1.2766503578504709,0.6684526846560406,367.1398073713542,88.34642291094909,0.0003544920939037022,0.5413907466074314,0.5,7.5,0.5417452387013351,1.443,0.5417452387013351,0.5071586070893115,646.5692739222883,118.20279230754814,2.663613626691287,158.17741824519027,865.2304778011908,0.5413907466074314
2D8,5.0,3.854,SHWR,2.0,53.1725,107.12,11.120000000000005,0.8382596740932433,1.6765193481864866,6.461305567910719,107.18423333333334,1.0,7.707999999999998,7.708,0.42727019999999993,1416.880236401285,0.3234806518135134,1.2466944320892805,0.7989207792135147,428.50171982500405,87.96067455202166,0.0007892264414393058,0.7396634223911583,0.5,7.5,0.7404526488325976,2.0,0.7404526488325976,0.4997971980048388,613.60890117226,159.21351872658533,2.701050503571312,213.82451903862628,824.0796963748656,0.7396634223911583
2D8,5.0,7.957000000000002,SHWR,1.474,53.1725,116.58,20.58,0.8382596740932433,1.235594759613441,9.831627502244148,116.71261666666666,1.0,11.728617999999999,11.728618000000003,0.461553402201241,2328.936410767128,0.23840524038655939,1.8969904977558536,0.6776498176667797,553.043527334703,88.3269560963821,0.0003714935808641906,0.552617843440084,0.5,7.5,0.5529893370209482,1.474,0.5529893370209482,0.5067847581875876,959.3531205061981,120.56718870255095,2.6655125177290033,161.37108252156835,1284.0297036241197,0.552617843440084
2D0,5.0,3.979,SHWR,2.0,53.1725,117.08,21.08,0.8382596740932433,1.6765193481864866,6.670870486434031,117.14631666666666,1.0,7.957999999999998,7.958,0.42727019999999993,1462.8350961703975,0.3234806518135134,1.2871295135659697,0.7989207792135147,442.39967389301796,87.96067455202166,0.0007892264414393058,0.7396634223911583,0.5,7.5,0.7404526488325976,2.0,0.7404526488325976,0.4997971980048388,633.5105910130831,159.21351872658533,2.701050503571312,213.82451903862628,850.807761254694,0.7396634223911583
2D9,6.0,12.237,SHWR,2.0,53.1125,128.79,8.789999999999992,0.838416481518885,1.67683296303777,20.51940496869319,128.99394999999998,1.0,24.474,24.474,0.42727019999999993,4504.005148708159,0.3231670369622298,3.9545950313068063,0.7989894608164019,1360.9256068310306,87.94663390066005,0.0007926329293755918,0.739279538322884,0.5,7.5,0.7400721712522595,2.0,0.7400721712522595,0.4998127566600366,1949.6097536487098,159.32089185655877,2.70243913727474,213.99698913438954,2618.681156037525,0.739279538322884
2D9,6.0,6.66,SHWR,2.0,53.1125,138.04,18.039999999999992,0.838416481518885,1.67683296303777,11.167707533831551,138.15099999999998,1.0,13.32,13.32,0.42727019999999993,2451.3094950066475,0.3231670369622298,2.1522924661684506,0.7989894608164019,740.6851794961726,87.94663390066005,0.0007926329293755918,0.739279538322884,0.5,7.5,0.7400721712522595,2.0,0.7400721712522595,0.4998127566600366,1061.0771397646815,159.32089185655877,2.70243913727474,213.99698913438954,1425.2199476350343,0.739279538322884
4D2,7.0,6.832999999999998,SHWR,1.311,53.045,151.93,7.930000000000009,0.8385925268339924,1.099394802679364,7.512164686708094,152.04388333333333,1.0,8.958063000000001,8.958062999999997,0.4712561494894097,1820.6525102000667,0.21160519732063596,1.445898313291905,0.6264366679454635,390.63472195708425,88.39686255234399,0.00029224703228009075,0.4927990176269647,0.5,7.5,0.5,1.311,0.4930912646592448,0.5087138359418957,739.210625212639,108.18244185755,2.658737020835237,144.6998833951229,988.7343032388745,0.4927990176269647
4D9,7.0,11.005,SHWR,1.464,53.045,153.86,9.860000000000014,0.8385925268339924,1.2276994592849648,13.510832549431038,154.04341666666667,1.0,16.111320000000003,16.11132,0.4621641310481449,3211.317762672331,0.23630054071503512,2.6004874505689615,0.674757870897079,756.7608266071446,88.30367846801502,0.00036950908263300164,0.5483901586388878,0.5,7.5,0.5487596677215208,1.464,0.5487596677215208,0.5069260159570939,1320.3003335126284,119.97276996934377,2.6678345478241967,160.61155511943377,1767.5301640893688,0.5483901586388878
4D9,7.0,13.101,SHWR,2.0,53.045,162.84,18.840000000000003,0.8385925268339924,1.6771850536679849,21.972801388104273,163.05835,1.0,26.202,26.202,0.42727019999999993,4828.285781814679,0.3228149463320152,4.229198611895732,0.7990665802515066,1457.4610918814897,87.93084607173668,0.0007964775625803888,0.73884836049928,0.5,7.5,0.7396448380618604,2.0,0.7396448380618604,0.49983022497429713,2088.84451127638,159.4416083716037,2.704000483854833,214.1909234031418,2806.115287504561,0.73884836049928
