Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
5D4,8.0,5.968,SHWR,1.259,53.006,187.03,19.03,0.8386940671677904,1.0559158305642482,6.301705676807432,7.513711999999999,0.47422981682855403,1537.889752515242,0.20308416943575183,1.2120063231925668,0.6085459887223693,318.3318489737649,88.39340571734573,0.0018610090022755932,0.47319096409899564,0.5,7.5,0.5,1.259,0.47505197310127123,0.5092642370921744,623.1533324812311,104.415772868839,2.650236334733857,139.54633145911617,832.8125061480054,0.47319096409899564
6D4,9.0,3.013,SHWR,2.0,52.9875,197.25,5.25,0.8387421890747833,1.6774843781495663,5.054260431364644,6.026,0.42727019999999993,1111.6498976939372,0.32251562185043336,0.9717395686353557,0.7991321518495712,335.2777956899355,87.87508515365599,0.004778341558148935,0.7373295036425034,0.5,7.5,0.7421078452006523,2.0,0.7421078452006523,0.4997294507474919,482.43343635271935,160.11730380110168,2.695026084058223,214.91488934416157,647.5385615939588,0.7373295036425034
6D4,9.0,11.005,SHWR,2.0,52.9875,197.65,5.65,0.8387421890747833,1.6774843781495663,18.460715581535986,22.01,0.42727019999999993,4060.307707972711,0.32251562185043336,3.5492844184640195,0.7991321518495712,1224.60409610612,87.87508515365599,0.004778341558148935,0.7373295036425034,0.5,7.5,0.7421078452006523,2.0,0.7421078452006523,0.4997294507474919,1762.0909283311241,160.11730380110168,2.695026084058223,214.91488934416157,2365.138357232498,0.7373295036425034
6D4,9.0,9.957,SHWR,2.0,52.9875,211.47,19.47,0.8387421890747833,1.6774843781495663,16.702711953235234,19.914,0.42727019999999993,3673.6468739922116,0.32251562185043336,3.211288046764765,0.7991321518495712,1107.9857323878816,87.87508515365599,0.004778341558148935,0.7373295036425034,0.5,7.5,0.7421078452006523,2.0,0.7421078452006523,0.4997294507474919,1594.2879939475695,160.11730380110168,2.695026084058223,214.91488934416157,2139.907553199817,0.7373295036425034
1E5,10.0,7.119,SHWR,2.0,52.9165,234.01,18.01,0.8389266069084378,1.6778532138168756,11.944637029162335,14.238,0.42727019999999993,2630.148839779261,0.3221467861831243,2.293362970837662,0.7992129631772249,792.4357293815787,87.85827239465743,0.004796734258377566,0.7368727698845231,0.5,7.5,0.7416695041429007,2.0,0.7416695041429007,0.49974740191539546,1140.7978482086758,160.24692347361648,2.696618896729845,215.1215531786145,1531.4503370785567,0.7368727698845231
2D1,12.0,5.5760000000000005,SHWR,2.0,52.8695,272.14,8.14,0.8390484544627841,1.6780969089255682,9.357068364168967,11.152000000000001,0.42727019999999993,2061.9390679731428,0.32190309107443205,1.7949316358310332,0.7992663638169656,620.8117259815273,87.84714743589815,0.004808933181167929,0.7365708613039623,0.5,7.5,0.7413797944851303,2.0,0.7413797944851303,0.4997592623598618,894.0150406238334,160.33268303870756,2.69767265695304,215.25830378556196,1200.2803019082937,0.7365708613039623
2D1,12.0,10.378,SHWR,1.916,52.8695,272.4,8.4,0.8390484544627841,1.6076168387506942,16.683847552554706,19.884248,0.43297262879010195,3725.5472534908877,0.3083831612493059,3.200400447445297,0.7839056910828905,1085.6469147616442,87.91257699653445,0.00435835527558226,0.7073393433383709,0.5,7.5,0.7116976986139532,1.916,0.7116976986139532,0.5009578728106718,1601.1458595570755,154.2826998995062,2.6921542724269756,207.0267033680482,2148.5231275536044,0.7073393433383709
2D4,13.0,4.476,SHWR,2.0,52.80200000000001,296.47,8.47,0.8392231261455352,1.6784462522910704,7.512725425254831,8.952,0.42727019999999993,1657.3151973050892,0.3215537477089296,1.4392745747451687,0.7993429253359136,498.49318384282884,87.83117651989016,0.004826485649309986,0.7361378756294656,0.5,7.5,0.7409643612787756,2.0,0.7409643612787756,0.49977626439990924,718.2000972865353,160.4557858102179,2.6991851491323384,215.45462441364245,964.3748988754636,0.7361378756294656
4D7,14.0,3.275,SHWR,2.0,52.68550000000001,318.5,6.5,0.8395237063604779,1.6790474127209558,5.49888027666113,6.55,0.42727019999999993,1215.3309420375424,0.32095258727904424,1.0511197233388698,0.7994747030622731,364.92831582661324,87.8036296632105,0.004856870803657709,0.7353922509631842,0.5,7.5,0.7402491217668419,2.0,0.7402491217668419,0.49980552138801204,526.1879590725009,160.66807910610717,2.7017931412419087,215.79324762231678,706.7228859630875,0.7353922509631842
4D7,14.0,7.336,SHWR,1.632,52.68550000000001,332.63,20.63,0.8395237063604779,1.3701026887802998,10.051073324892279,11.972351999999999,0.45166678050738585,2348.271342497852,0.2618973112197001,1.9212786751077202,0.7210392536592294,601.5890490815318,88.07782811102216,0.0031117537005570517,0.6061918060437591,0.5,7.5,0.6093035597443162,1.632,0.6093035597443162,0.5048329836733303,979.9217818713935,133.57712402827065,2.6784678571135228,179.00757909225106,1313.1996002207538,0.6061918060437591
